iter	Passed	Remaining
813	18213	4161
814	18234	4139
815	18257	4116
816	18277	4094
817	18298	4071
818	18319	4048
819	18341	4026
820	18363	4003
821	18384	3981
822	18405	3958
823	18426	3935
824	18446	3912
825	18467	3890
826	18489	3867
827	18511	3845
828	18533	3822
829	18553	3800
830	18576	3777
831	18596	3755
832	18616	3732
833	18639	3709
834	18660	3687
835	18681	3664
836	18702	3642
837	18722	3619
838	18747	3597
839	18769	3575
840	18791	3552
841	18815	3530
842	18836	3508
843	18856	3485
844	18876	3462
845	18899	3440
846	18920	3417
847	18942	3395
848	18964	3372
849	18986	3350
850	19006	3327
851	19028	3305
852	19049	3282
853	19072	3260
854	19093	3238
855	19116	3215
856	19137	3193
857	19159	3170
858	19182	3148
859	19206	3126
860	19228	3104
861	19249	3081
862	19269	3059
863	19291	3036
864	19314	3014
865	19335	2991
866	19359	2969
867	19380	2947
868	19403	2925
869	19423	2902
870	19443	2879
871	19465	2857
872	19486	2834
873	19508	2812
874	19529	2789
875	19551	2767
876	19574	2745
877	19595	2722
878	19617	2700
879	19640	2678
880	19662	2655
881	19684	2633
882	19706	2611
883	19730	2589
884	19751	2566
885	19775	2544
886	19796	2522
887	19817	2499
888	19839	2477
889	19861	2454
890	19883	2432
891	19904	2409
892	19926	2387
893	19948	2365
894	19969	2342
895	19991	2320
896	20011	2297
897	20031	2275
898	20057	2253
899	20079	2231
900	20099	2208
901	20121	2186
902	20142	2163
903	20163	2141
904	20185	2118
905	20210	2096
906	20233	2074
907	20255	2052
908	20275	2029
909	20297	2007
910	20321	1985
911	20343	1962
912	20363	1940
913	20385	1918
914	20405	1895
915	20427	1873
916	20448	1850
917	20470	1828
918	20494	1806
919	20515	1783
920	20539	1761
921	20562	1739
922	20583	1717
923	20606	1694
924	20629	1672
925	20651	1650
926	20671	1627
927	20692	1605
928	20713	1583
929	20735	1560
930	20758	1538
931	20781	1516
932	20804	1493
933	20823	1471
934	20842	1448
935	20865	1426
936	20886	1404
937	20907	1381
938	20928	1359
939	20951	1337
940	20972	1314
941	20992	1292
942	21016	1270
943	21040	1248
944	21061	1225
945	21080	1203
946	21101	1180
947	21122	1158
948	21143	1136
949	21163	1113
950	21184	1091
951	21206	1069
952	21227	1046
953	21248	1024
954	21270	1002
955	21292	979
956	21314	957
957	21335	935
958	21359	913
959	21383	890
960	21406	868
961	21428	846
962	21453	824
963	21475	801
964	21496	779
965	21518	757
966	21540	735
967	21561	712
968	21582	690
969	21606	668
970	21629	645
971	21652	623
972	21675	601
973	21696	579
974	21717	556
975	21741	534
976	21764	512
977	21787	490
978	21808	467
979	21831	445
980	21854	423
981	21878	401
982	21899	378
983	21919	356
984	21941	334
985	21962	311
986	21984	289
987	22005	267
988	22028	245
989	22049	222
990	22070	200
991	22091	178
992	22113	155
993	22133	133
994	22154	111
995	22177	89
996	22198	66
997	22219	44
998	22240	22
999	22263	0
